review_rank,audit_label,scope,lines_year,precinct_key,name20,district_num,geometry_status,area_weight,normalized_weight,queue_area_weight,weight_delta_vs_queue,intersection_area_m2,suggested_action,map_folder
6,state_house_2022,state_house,2022,MAURY - 005951,Maury - 005951,92,sliver,7.393e-05,7.393e-05,7.4e-05,-7e-08,3151.7571,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\006_state_house_maury_005951
7,state_house_2022,state_house,2022,SHELBY - 008141,Shelby - 008141,91,dominant,0.45330665,0.45330665,0.453307,-3.5e-07,3048573.8578,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\007_state_house_shelby_008141
7,state_house_2022,state_house,2022,SHELBY - 008141,Shelby - 008141,97,real_secondary,0.42943965,0.42943965,0.42944,-3.5e-07,2888063.6674,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\007_state_house_shelby_008141
7,state_house_2022,state_house,2022,SHELBY - 008141,Shelby - 008141,87,real_secondary,0.11724898,0.11724898,0.117249,-2e-08,788521.7849,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\007_state_house_shelby_008141
7,state_house_2022,state_house,2022,SHELBY - 008141,Shelby - 008141,93,sliver,4.72e-06,4.72e-06,5e-06,-2.8e-07,31.7529,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\007_state_house_shelby_008141
8,congressional_2026,congressional,2026,MONTGOMERY - 006457,Montgomery - 006457,7,dominant,0.61432566,0.61432566,0.614326,-3.4e-07,8942269.8968,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\008_congressional_montgomery_006457
8,congressional_2026,congressional,2026,MONTGOMERY - 006457,Montgomery - 006457,5,real_secondary,0.38567434,0.38567434,0.385674,3.4e-07,5613967.2083,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\008_congressional_montgomery_006457
9,state_house_2022,state_house,2022,DAVIDSON - 001875,Davidson - 001875,53,dominant,0.62111405,0.62111405,0.621114,5e-08,6655262.1346,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\009_state_house_davidson_001875
9,state_house_2022,state_house,2022,DAVIDSON - 001875,Davidson - 001875,55,real_secondary,0.35715525,0.35715525,0.357155,2.5e-07,3826932.8757,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\009_state_house_davidson_001875
9,state_house_2022,state_house,2022,DAVIDSON - 001875,Davidson - 001875,52,minor_secondary,0.01541733,0.01541733,0.015417,3.3e-07,165197.3579,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\009_state_house_davidson_001875
9,state_house_2022,state_house,2022,DAVIDSON - 001875,Davidson - 001875,59,sliver,0.00631337,0.00631337,0.006313,3.7e-07,67647.9931,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\009_state_house_davidson_001875
10,state_house_2022,state_house,2022,RUTHERFORD - 007663,Rutherford - 007663,13,dominant,0.55633092,0.55633092,0.556331,-8e-08,8299927.3951,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\010_state_house_rutherford_007663
10,state_house_2022,state_house,2022,RUTHERFORD - 007663,Rutherford - 007663,34,real_secondary,0.44366908,0.44366908,0.443669,8e-08,6619120.0365,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\010_state_house_rutherford_007663
11,state_house_2022,state_house,2022,KNOX - 004831,Knox - 004831,15,dominant,0.5962867,0.5962867,0.596287,-3e-07,7591194.6307,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\011_state_house_knox_004831
11,state_house_2022,state_house,2022,KNOX - 004831,Knox - 004831,18,real_secondary,0.4037133,0.4037133,0.403713,3e-07,5139585.1005,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\011_state_house_knox_004831
12,state_house_2022,state_house,2022,RUTHERFORD - 007683,Rutherford - 007683,34,dominant,0.51423161,0.51423161,0.514232,-3.9e-07,4033032.5164,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\012_state_house_rutherford_007683
12,state_house_2022,state_house,2022,RUTHERFORD - 007683,Rutherford - 007683,37,real_secondary,0.48575539,0.48575539,0.485755,3.9e-07,3809698.2758,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\012_state_house_rutherford_007683
12,state_house_2022,state_house,2022,RUTHERFORD - 007683,Rutherford - 007683,48,sliver,1.299e-05,1.299e-05,1.3e-05,-1e-08,101.9014,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\012_state_house_rutherford_007683
13,state_house_2022,state_house,2022,RUTHERFORD - 007665,Rutherford - 007665,13,dominant,0.58421611,0.58421611,0.584216,1.1e-07,90459033.1853,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\013_state_house_rutherford_007665
13,state_house_2022,state_house,2022,RUTHERFORD - 007665,Rutherford - 007665,34,real_secondary,0.41567005,0.41567005,0.41567,5e-08,64361646.9878,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\013_state_house_rutherford_007665
13,state_house_2022,state_house,2022,RUTHERFORD - 007665,Rutherford - 007665,63,sliver,9.735e-05,9.735e-05,9.7e-05,3.5e-07,15073.3988,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\013_state_house_rutherford_007665
13,state_house_2022,state_house,2022,RUTHERFORD - 007665,Rutherford - 007665,62,sliver,1.649e-05,1.649e-05,1.6e-05,4.9e-07,2552.5155,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\013_state_house_rutherford_007665
15,state_house_2022,state_house,2022,SUMNER - 008628,Sumner - 008628,45,dominant,0.70265227,0.70265227,0.702652,2.7e-07,18469585.9208,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\015_state_house_sumner_008628
15,state_house_2022,state_house,2022,SUMNER - 008628,Sumner - 008628,44,real_secondary,0.29734773,0.29734773,0.297348,-2.7e-07,7815941.9227,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\015_state_house_sumner_008628
28,state_house_2022,state_house,2022,RUTHERFORD - 007669,Rutherford - 007669,49,dominant,0.71246528,0.71246528,0.712465,2.8e-07,38544142.3066,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\028_state_house_rutherford_007669
28,state_house_2022,state_house,2022,RUTHERFORD - 007669,Rutherford - 007669,13,real_secondary,0.28743008,0.28743008,0.28743,8e-08,15549874.9617,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\028_state_house_rutherford_007669
28,state_house_2022,state_house,2022,RUTHERFORD - 007669,Rutherford - 007669,63,sliver,0.00010463,0.00010463,0.000105,-3.7e-07,5660.623,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\028_state_house_rutherford_007669
30,state_house_2022,state_house,2022,DAVIDSON - 001960,Davidson - 001960,50,dominant,0.61570824,0.61570824,0.615708,2.4e-07,7418629.2062,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\030_state_house_davidson_001960
30,state_house_2022,state_house,2022,DAVIDSON - 001960,Davidson - 001960,59,real_secondary,0.38429176,0.38429176,0.384292,-2.4e-07,4630306.7762,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\030_state_house_davidson_001960
62,state_senate_2022,state_senate,2022,KNOX - 004888,Knox - 004888,5,dominant,0.68988956,0.68988956,0.68989,-4.4e-07,13473302.238,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\062_state_senate_knox_004888
62,state_senate_2022,state_senate,2022,KNOX - 004888,Knox - 004888,7,real_secondary,0.31011044,0.31011044,0.31011,4.4e-07,6056348.74,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\062_state_senate_knox_004888
100,state_house_2022,state_house,2022,DAVIDSON - 001953,Davidson - 001953,59,dominant,0.55960547,0.55960547,0.559605,4.7e-07,2406812.4246,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\100_state_house_davidson_001953
100,state_house_2022,state_house,2022,DAVIDSON - 001953,Davidson - 001953,56,real_secondary,0.44039453,0.44039453,0.440395,-4.7e-07,1894096.9649,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\100_state_house_davidson_001953
134,congressional_2026,congressional,2026,RUTHERFORD - 007691,Rutherford - 007691,4,dominant,0.72899508,0.72899508,0.728995,8e-08,11276730.2443,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\134_congressional_rutherford_007691
134,congressional_2026,congressional,2026,RUTHERFORD - 007691,Rutherford - 007691,9,real_secondary,0.27100492,0.27100492,0.271005,-8e-08,4192139.9537,manual_split_review,reports\district_crosswalk_comparison\split_geometry_review\134_congressional_rutherford_007691
