review_rank,review_priority,review_reasons,audit_label,scope,lines_year,precinct_key,county_norm,prec_id,split_count,district_weights,dominant_district,dominant_area_weight,total_area_weight,normalized_non_dominant_share,unallocated_area_weight,cvap_total,non_dominant_cvap_exposure,unallocated_cvap_exposure,has_precinct_cvap,max_non_dominant_vote_exposure,top_vote_exposure_contest,max_2024_total_votes,max_2024_non_dominant_vote_exposure,top_2024_vote_exposure_contest,closest_2024_abs_margin_pct,closest_2024_margin_contest,max_2024_margin_sensitivity,top_2024_margin_sensitivity_contest,contests_reviewed
11,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity,state_house_2022,state_house,2022,RUTHERFORD - 007686,RUTHERFORD,007686,2,48:0.661302;37:0.338698,48,0.66130159,1.0,0.33869841,0.0,8007.0,2711.9582,0.0,True,940.2268,president_2024,2776.0,940.2268,president_2024,17.1921,us_senate_2024,399.4397,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
12,medium,medium_cvap_exposure;medium_2024_vote_exposure,congressional_2026,congressional,2026,SUMNER - 008601,SUMNER,008601,2,6:0.650527;7:0.349473,6,0.65052745,1.0,0.34947255,0.0,7683.0,2684.9976,0.0,True,1917.5559,president_2024,5487.0,1917.5559,president_2024,47.5305,president_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
13,medium,medium_cvap_exposure;close_2024_precinct_margin;multiway_split,state_house_2022,state_house,2022,KNOX - 004837,KNOX,004837,3,90:0.680552;18:0.318424;14:0.001024,90,0.6805524,1.0,0.3194476,0.0,8398.0,2682.7209,0.0,True,1563.3766,president_2020,719.0,229.6828,president_2024,7.0423,us_senate_2024,173.5662,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
14,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity,congressional_2022,congressional,2022,WILLIAMSON - 009730,WILLIAMSON,009730,2,5:0.593208;7:0.406792,5,0.59320823,1.0,0.40679177,0.0,6571.0,2673.0287,0.0,True,1987.1778,president_2020,4497.0,1829.3426,us_senate_2024,24.3153,president_2024,346.1796,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
15,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin,congressional_2022,congressional,2022,SHELBY - 008058,SHELBY,008058,2,9:0.503994;8:0.496006,9,0.50399437,1.0,0.49600563,0.0,5375.0,2666.0303,0.0,True,2609.4856,governor_2022,1015.0,503.4457,president_2024,0.4926,president_2024,495.1791,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
16,medium,medium_cvap_exposure;multiway_split,state_house_2022,state_house,2022,DAVIDSON - 001893,DAVIDSON,001893,3,58:0.563598;51:0.288020;56:0.148382,58,0.56359755,1.0,0.43640245,0.0,5937.0,2590.9213,0.0,True,1059.1487,president_2020,797.0,347.8128,president_2024,37.037,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
17,high,medium_cvap_exposure;high_2024_vote_exposure,state_house_2022,state_house,2022,SUMNER - 008628,SUMNER,008628,2,45:0.731788;44:0.268212,45,0.73178808,1.0,0.26821192,0.0,9362.0,2511.0,0.0,True,2539.6987,president_2024,9469.0,2539.6987,president_2024,36.2636,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
18,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin;multiway_split,state_house_2022,state_house,2022,KNOX - 004879,KNOX,004879,3,90:0.723096;16:0.276823;15:0.000081,90,0.72309607,1.0,0.27690393,0.0,8808.0,2438.9698,0.0,True,1163.5503,president_2020,3062.0,847.8798,president_2024,1.4043,president_2024,808.1905,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
19,medium,medium_cvap_exposure;medium_2024_vote_exposure;multiway_split,state_house_2022,state_house,2022,SHELBY - 008239,SHELBY,008239,3,88:0.548905;98:0.451092;86:0.000003,88,0.54890504,1.0,0.45109496,0.0,5371.0,2422.831,0.0,True,1006.3929,president_2020,1640.0,739.7957,president_2024,71.214,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
20,high,medium_cvap_exposure;high_2024_vote_exposure;high_close_margin_sensitivity;close_2024_precinct_margin,state_house_2022,state_house,2022,DAVIDSON - 001960,DAVIDSON,001960,2,50:0.601424;59:0.398576,50,0.60142408,1.0,0.39857592,0.0,6039.0,2407.0,0.0,True,2322.9005,president_2024,5828.0,2322.9005,president_2024,8.9093,us_senate_2024,1613.4386,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
21,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_senate_2022,state_senate,2022,WILLIAMSON - 009706,WILLIAMSON,009706,2,27:0.506256;28:0.493744,27,0.50625583,1.0,0.49374417,0.0,4847.0,2393.178,0.0,True,2139.3935,president_2020,2212.0,1092.1621,president_2024,43.4901,president_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
22,medium,medium_cvap_exposure,state_house_2022,state_house,2022,DAVIDSON - 001875,DAVIDSON,001875,2,53:0.712300;55:0.287700,53,0.71230038,1.0,0.28769962,0.0,8277.0,2381.2898,0.0,True,1130.9472,president_2020,1665.0,479.0199,president_2024,15.7958,president_2024,226.8031,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
23,high,medium_cvap_exposure;high_2024_vote_exposure;medium_close_margin_sensitivity,congressional_2026,congressional,2026,RUTHERFORD - 007691,RUTHERFORD,007691,2,4:0.532354;9:0.467646,4,0.53235411,1.0,0.46764589,0.0,5038.0,2356.0,0.0,True,3459.1766,president_2024,7397.0,3459.1766,president_2024,24.7222,us_senate_2024,599.6761,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
24,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,MAURY - 005951,MAURY,005951,2,64:0.801148;71:0.198852,64,0.80114836,1.0,0.19885164,0.0,11843.0,2355.0,0.0,True,787.4525,president_2024,3960.0,787.4525,president_2024,47.4873,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
25,medium,medium_cvap_exposure;medium_2024_vote_exposure;multiway_split,state_house_2022,state_house,2022,WILSON - 009818,WILSON,009818,4,46:0.574613;57:0.425181;37:0.000196;52:0.000010,46,0.57461314,1.0,0.42538686,0.0,5533.0,2353.6655,0.0,True,1502.041,president_2024,3531.0,1502.041,president_2024,40.5793,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
26,medium,medium_cvap_exposure;medium_2024_vote_exposure,congressional_2026,congressional,2026,DAVIDSON - 001839,DAVIDSON,001839,2,7:0.562389;6:0.437611,7,0.56238862,1.0,0.43761138,0.0,5274.0,2307.9624,0.0,True,1273.0115,president_2020,1271.0,556.2041,president_2024,42.6436,president_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
27,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,RUTHERFORD - 007683,RUTHERFORD,007683,2,37:0.635989;34:0.364011,37,0.63598858,1.0,0.36401142,0.0,6302.0,2294.0,0.0,True,986.4709,president_2020,1548.0,563.4897,president_2024,16.9251,president_2024,245.5857,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
28,high,medium_cvap_exposure;medium_2024_vote_exposure;high_close_margin_sensitivity;close_2024_precinct_margin;multiway_split,state_house_2022,state_house,2022,SHELBY - 008076,SHELBY,008076,4,96:0.602443;83:0.350087;97:0.028621;95:0.018848,96,0.60244328,1.0,0.39755672,0.0,5730.0,2278.0,0.0,True,1666.1602,president_2020,3241.0,1288.4813,president_2024,4.1037,president_2024,1112.2299,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
29,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,MAURY - 005956,MAURY,005956,2,64:0.631924;71:0.368076,64,0.6319243,1.0,0.3680757,0.0,6186.0,2276.9163,0.0,True,1410.8342,president_2020,2622.0,965.0945,president_2024,29.3669,president_2024,20.3667,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
30,medium,medium_cvap_exposure;multiway_split,state_house_2022,state_house,2022,SHELBY - 008053,SHELBY,008053,3,99:0.559608;98:0.426800;88:0.013591,99,0.55960812,1.0,0.44039188,0.0,5133.0,2260.5315,0.0,True,3091.9914,governor_2022,1031.0,454.044,president_2024,24.9273,president_2024,76.7743,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
31,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;multiway_split,state_house_2022,state_house,2022,SHELBY - 008159,SHELBY,008159,4,87:0.635062;91:0.364761;93:0.000173;97:0.000004,87,0.63506154,1.0,0.36493846,0.0,6193.0,2260.0639,0.0,True,922.5644,president_2024,2528.0,922.5644,president_2024,11.1022,us_senate_2024,575.6307,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
32,medium,medium_cvap_exposure;medium_2024_vote_exposure;multiway_split,state_house_2022,state_house,2022,SHELBY - 008194,SHELBY,008194,4,84:0.559256;83:0.221797;87:0.218605;97:0.000341,84,0.55925626,1.0,0.44074374,0.0,5084.0,2240.7412,0.0,True,1020.7625,president_2020,1188.0,523.6036,president_2024,68.2301,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
33,medium,medium_cvap_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin,state_house_2022,state_house,2022,SHELBY - 008058,SHELBY,008058,2,88:0.583287;99:0.416713,88,0.58328718,1.0,0.41671282,0.0,5375.0,2239.8314,0.0,True,2192.3262,governor_2022,1015.0,422.9635,president_2024,0.4926,president_2024,416.0184,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
34,medium,medium_cvap_exposure;multiway_split,state_house_2022,state_house,2022,DAVIDSON - 001841,DAVIDSON,001841,4,54:0.531008;51:0.466932;60:0.001974;50:0.000086,54,0.53100797,1.0,0.46899203,0.0,4764.0,2234.278,0.0,True,930.0112,president_2020,1049.0,491.9726,president_2024,61.0087,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
35,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,WILSON - 009819,WILSON,009819,2,46:0.625963;57:0.374037,46,0.62596334,1.0,0.37403666,0.0,5959.0,2228.8845,0.0,True,1510.36,president_2024,4038.0,1510.36,president_2024,37.2087,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
36,medium,medium_cvap_exposure,congressional_2026,congressional,2026,DAVIDSON - 001890,DAVIDSON,001890,2,6:0.747894;7:0.252106,6,0.74789379,1.0,0.25210621,0.0,8774.0,2211.9799,0.0,True,777.2435,president_2020,1551.0,391.0167,president_2024,13.6041,president_2024,213.7024,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
37,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,SUMNER - 008635,SUMNER,008635,2,44:0.679267;35:0.320733,44,0.67926735,1.0,0.32073265,0.0,6890.0,2209.848,0.0,True,1624.5109,president_2024,5065.0,1624.5109,president_2024,38.1836,president_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
38,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity,congressional_2022,congressional,2022,SHELBY - 008261,SHELBY,008261,2,9:0.629461;8:0.370539,9,0.62946071,1.0,0.37053929,0.0,5858.0,2170.6192,0.0,True,1291.3294,president_2020,2737.0,1014.166,president_2024,20.6065,president_2024,317.5523,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
39,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity,state_house_2022,state_house,2022,WILLIAMSON - 009712,WILLIAMSON,009712,2,61:0.602049;63:0.397951,61,0.6020487,1.0,0.3979513,0.0,5422.0,2157.6919,0.0,True,1577.8769,president_2020,2301.0,915.6859,president_2024,19.4698,president_2024,321.4119,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
40,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;multiway_split,state_house_2022,state_house,2022,RUTHERFORD - 007692,RUTHERFORD,007692,4,49:0.693554;37:0.306031;34:0.000378;13:0.000037,49,0.69355382,1.0,0.30644618,0.0,7028.0,2153.7038,0.0,True,1039.159,president_2020,2698.0,826.7918,president_2024,14.8452,us_senate_2024,415.0305,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
41,medium,medium_cvap_exposure;medium_2024_vote_exposure;multiway_split,state_house_2022,state_house,2022,SHELBY - 008233,SHELBY,008233,3,96:0.554604;93:0.254292;98:0.191104,96,0.55460389,1.0,0.44539611,0.0,4814.0,2144.1369,0.0,True,1020.4025,president_2020,1703.0,758.5096,president_2024,56.6767,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
42,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin,state_senate_2022,state_senate,2022,RUTHERFORD - 007682,RUTHERFORD,007682,2,14:0.640376;13:0.359624,14,0.64037606,1.0,0.35962394,0.0,5934.0,2134.0085,0.0,True,1096.1338,president_2020,2408.0,865.9745,president_2024,4.0946,us_senate_2024,735.6694,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
43,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin,congressional_2026,congressional,2026,RUTHERFORD - 007673,RUTHERFORD,007673,2,4:0.634730;9:0.365270,4,0.63472981,1.0,0.36527019,0.0,5842.0,2133.9085,0.0,True,970.5229,president_2020,1961.0,716.2948,president_2024,5.1026,us_senate_2024,576.2741,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
44,medium,medium_cvap_exposure;medium_2024_vote_exposure;multiway_split,state_senate_2022,state_senate,2022,SHELBY - 008051,SHELBY,008051,3,32:0.719898;31:0.280027;26:0.000075,32,0.71989823,1.0,0.28010177,0.0,7533.0,2110.0066,0.0,True,2655.3648,governor_2022,2179.0,610.3418,president_2024,42.3023,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
45,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity,congressional_2022,congressional,2022,TIPTON - 008708,TIPTON,008708,2,8:0.548836;9:0.451164,8,0.54883649,1.0,0.45116351,0.0,4671.0,2107.3847,0.0,True,997.5225,president_2020,2048.0,923.9829,president_2024,12.9395,president_2024,525.4537,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
46,medium,medium_cvap_exposure,congressional_2026,congressional,2026,DAVIDSON - 001892,DAVIDSON,001892,2,7:0.555475;6:0.444525,7,0.55547527,1.0,0.44452473,0.0,4704.0,2091.0443,0.0,True,807.7014,president_2020,321.0,142.6924,president_2024,56.6225,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
47,medium,medium_cvap_exposure;medium_2024_vote_exposure;multiway_split,state_senate_2022,state_senate,2022,KNOX - 004883,KNOX,004883,3,7:0.692620;5:0.306807;6:0.000572,7,0.69262038,1.0,0.30737962,0.0,6790.0,2087.1076,0.0,True,1059.8449,president_2020,2215.0,680.8459,us_senate_2024,21.3315,president_2024,196.1087,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
48,medium,medium_cvap_exposure;medium_2024_vote_exposure,congressional_2026,congressional,2026,DAVIDSON - 001900,DAVIDSON,001900,2,7:0.521389;6:0.478611,7,0.52138881,1.0,0.47861119,0.0,4360.0,2086.7448,0.0,True,1008.9124,president_2020,1390.0,665.2696,president_2024,43.8672,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
49,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,KNOX - 004883,KNOX,004883,2,90:0.693086;15:0.306914,90,0.69308562,1.0,0.30691438,0.0,6790.0,2083.9486,0.0,True,1058.2408,president_2020,2215.0,679.8153,us_senate_2024,21.3315,president_2024,195.8119,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
50,medium,medium_cvap_exposure;multiway_split,congressional_2022,congressional,2022,DAVIDSON - 001875,DAVIDSON,001875,3,6:0.750614;5:0.249386;7:0.000000,6,0.75061409,1.0,0.24938591,0.0,8277.0,2064.1672,0.0,True,980.336,president_2020,1665.0,415.2275,president_2024,15.7958,president_2024,196.5991,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
51,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,KNOX - 004809,KNOX,004809,2,15:0.734417;19:0.265583,15,0.7344166,1.0,0.2655834,0.0,7746.0,2057.209,0.0,True,790.9074,president_2020,2857.0,758.7718,president_2024,25.1313,president_2024,123.1411,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
52,medium,medium_cvap_exposure,state_senate_2022,state_senate,2022,HAMILTON - 003440,HAMILTON,003440,2,10:0.623768;11:0.376232,10,0.62376839,1.0,0.37623161,0.0,5435.0,2044.8188,0.0,True,1212.5945,president_2020,628.0,236.2734,president_2024,47.4522,president_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
53,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin;multiway_split,state_house_2022,state_house,2022,RUTHERFORD - 007682,RUTHERFORD,007682,3,37:0.657004;48:0.342968;34:0.000028,37,0.65700351,1.0,0.34299649,0.0,5934.0,2035.3412,0.0,True,1045.4533,president_2020,2408.0,825.9355,president_2024,4.0946,us_senate_2024,701.6553,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
54,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,SHELBY - 008206,SHELBY,008206,2,85:0.508106;87:0.491894,85,0.50810644,1.0,0.49189356,0.0,4094.0,2013.8122,0.0,True,1139.7174,president_2024,2317.0,1139.7174,president_2024,59.3569,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
55,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_senate_2022,state_senate,2022,DAVIDSON - 001833,DAVIDSON,001833,2,19:0.516318;20:0.483682,19,0.51631826,1.0,0.48368174,0.0,4134.0,1999.5403,0.0,True,1229.519,president_2024,2542.0,1229.519,president_2024,77.7325,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
56,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin,congressional_2022,congressional,2022,WILSON - 009826,WILSON,009826,2,6:0.560740;5:0.439260,6,0.56073979,1.0,0.43926021,0.0,4462.0,1959.9791,0.0,True,541.1686,president_2024,1232.0,541.1686,president_2024,6.8994,president_2024,416.7106,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
57,medium,medium_cvap_exposure;multiway_split,state_house_2022,state_house,2022,KNOX - 004805,KNOX,004805,4,14:0.795639;89:0.204353;18:0.000006;32:0.000001,14,0.79563921,1.0,0.20436079,0.0,9524.0,1946.3321,0.0,True,1518.4007,president_2020,1585.0,323.9118,president_2024,19.9369,president_2024,108.6519,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
58,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,SULLIVAN - 008522,SULLIVAN,008522,2,2:0.674374;1:0.325626,2,0.67437447,1.0,0.32562553,0.0,5963.0,1941.705,0.0,True,1239.3308,president_2020,2178.0,709.2124,president_2024,61.1111,president_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
59,medium,medium_cvap_exposure;medium_2024_vote_exposure,state_house_2022,state_house,2022,WILSON - 009820,WILSON,009820,2,46:0.514345;40:0.485655,46,0.51434487,1.0,0.48565513,0.0,3958.0,1922.223,0.0,True,1284.0722,president_2024,2644.0,1284.0722,president_2024,56.8077,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
60,medium,medium_cvap_exposure;medium_2024_vote_exposure,congressional_2026,congressional,2026,SUMNER - 008621,SUMNER,008621,2,6:0.563677;7:0.436323,6,0.56367707,1.0,0.43632293,0.0,4390.0,1915.4577,0.0,True,1796.7778,president_2024,4118.0,1796.7778,president_2024,27.9144,us_senate_2024,123.3347,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
61,medium,medium_cvap_exposure;medium_2024_vote_exposure;multiway_split,state_house_2022,state_house,2022,SUMNER - 008603,SUMNER,008603,4,35:0.658968;45:0.325740;57:0.015186;44:0.000106,35,0.65896753,1.0,0.34103247,0.0,5525.0,1884.2044,0.0,True,1334.8011,president_2024,3914.0,1334.8011,president_2024,32.7582,us_senate_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
62,medium,medium_cvap_exposure;medium_2024_vote_exposure;medium_close_margin_sensitivity;close_2024_precinct_margin,congressional_2026,congressional,2026,SHELBY - 008263,SHELBY,008263,2,9:0.533478;8:0.466522,9,0.53347822,1.0,0.46652178,0.0,4031.0,1880.5493,0.0,True,1040.8101,president_2020,1947.0,908.3179,president_2024,3.2424,us_senate_2024,808.4825,us_senate_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
63,medium,medium_cvap_exposure;multiway_split,congressional_2026,congressional,2026,DAVIDSON - 001875,DAVIDSON,001875,3,4:0.773695;6:0.226180;7:0.000125,4,0.77369482,1.0,0.22630518,0.0,8277.0,1873.128,0.0,True,889.6057,president_2020,1665.0,376.7981,president_2024,15.7958,president_2024,178.4039,president_2024,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
64,medium,medium_cvap_exposure;multiway_split,state_house_2022,state_house,2022,HAMILTON - 003379,HAMILTON,003379,3,26:0.547964;28:0.403265;27:0.048771,26,0.54796411,1.0,0.45203589,0.0,4114.0,1859.6756,0.0,True,511.2526,president_2020,1045.0,472.3775,president_2024,45.1675,president_2024,0.0,,governor_2022;president_2020;president_2024;us_senate_2020;us_senate_2024
